"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105039";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"268";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105251";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102907";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104319";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102783";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA3 2JJ";"54.0446703";"-2.8922308";"Student";"105452";"N";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105327";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"104967";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Regular Booker";"103704";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104997";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"293";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR1 9LD";"53.7397071";"-2.7133143";"Regular Booker";"292";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"103097";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"105409";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LL30 1SJ";"53.3159921";"-3.8176746";"Active Booker";"105286";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA4 5PU";"54.0725914";"-2.8542724";"Active Booker";"310";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"M28 2TT";"53.5070092";"-2.3724055";"Student";"103098";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102531";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105314";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102737";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"103783";"Y";"N";"Y";"N";"Y";"N";"N";"N";"Y";"N"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Lapsed Booker";"336";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105193";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"F";"LA4 4PE";"54.0670876";"-2.8655259";"Lapsed Booker";"103099";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"105333";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"101912";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104953";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BL1 4BW";"53.5826165";"-2.4486602";"Lapsed Booker";"102458";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Active Booker";"365";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"372";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CA17 4AP";"54.4806058";"-2.350024";"Active Booker";"103100";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"101337";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"BB5 4LF";"53.754901";"-2.3910573";"Active Booker";"105144";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"SL9 7DL";"51.5799565";"-0.5553804";"Student";"105147";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"405";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103067";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"L40 1TE";"53.6306667";"-2.833087";"Active Booker";"105253";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"425";"Y";"Y";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"HU17 7LU";"53.862277";"-0.4586385";"Student";"104926";"Y";"N";"Y";"N";"Y";"Y";"Y";"N";"N";"N"
"M";"LA12 8JL";"54.2719639";"-3.0164124";"Student";"100630";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 1HZ";"53.9068429";"-2.7624231";"Regular Booker";"429";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"IG1 3JJ";"51.5689581";"0.06028796";"Student";"104044";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"IG1 3JJ";"51.5689581";"0.06028796";"Student";"105121";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BB7 4LG";"53.9148201";"-2.3300711";"Student";"104959";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
