"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"M";"CH64 0UJ";"53.2802727";"-3.0612121";"Lapsed Booker";"103115";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"88.00"
;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"1947";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"88.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102564";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"88.00"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"7269";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"87.30"
;"FY8 2HE";"53.7604711";"-3.0334622";"Active Booker";"101262";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"87.00"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Regular Booker";"4180";"N";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N";"87.00"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"5416";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"86.90"
;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"4689";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"86.00"
"F";;;;"Lapsed Booker";"102788";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"86.00"
"M";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"102479";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"85.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"104967";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N";"83.00"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"4104";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"81.64"
"M";"PR3 2YG";"53.8285086";"-2.591444";"Active Booker";"105416";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"81.50"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"5493";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?";"81.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"527";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y";"80.75"
