"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"3";"Matthews, Carole";"Microsoft Office PowerPoint 2007 : quick steps";"5.5800";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Bott, Ed";"Microsoft Office 2007 in depth";"5.5000";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"McFedries, Paul";"Microsoft Office PowerPoint 2007";"5.5800";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Noelle, Robin";"Microsoft Word 2010";"5.5200";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"Muir, Nancy";"PCs just the steps for dummies";"4.1600";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"McManus, Sean";"Microsoft Office for the older and wiser : get u";"5.5000";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"Boyce, Jim";"Microsoft Office Outlook 2007 : plain and simple";"5.5700";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"Vogel, Sandra";"Brilliant laptops";"4.1600";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"Ballew, Joli";"Laptop basics";"4.1600";"NE8 1NL";"54.9583091";"-1.6057576"
"3";"Ballew, Joli";"Brilliant laptops for the over 50s";"4.1600";"NE8 1NL";"54.9583091";"-1.6057576"
"36";"Johnson, Steve";"Brillian Microsoft Word 2010";"5.5200";"NE9 7XG";"54.9234453";"-1.5678905"
"36";"McBride, P. K.";"Brilliant Internet for the over 50s";"4.6780";"NE8 2NA";"54.9575854";"-1.6196341"
"36";NULL;"Computing made easy for the overs 50s : Windows";"4.0840";"NE8 2NA";"54.9575854";"-1.6196341"
"36";"Johnson, Steve";"Brilliant Microsoft Word 2007";"5.5200";"NE7 7PL";"55.0001164";"-1.5787226"
"35";"Hall, Bill";"Complete beginner's guide to using email for the";"4.6920";"NE6 5LJ";"54.986578";"-1.5775826"
"35";"Perry, Greg";"Sams teach yourself Office productivity : all in";"5.3690";"NE6 5LJ";"54.986578";"-1.5775826"
"35";"Coughlin, Thomas M.";"Digital storage in consumer electronics : the es";"4.5000";"NE6 5LJ";"54.986578";"-1.5775826"
"35";"Gregory, Peter H.";"Computer viruses for dummies";"5.8000";"NE6 5LJ";"54.986578";"-1.5775826"
"35";"MacRae, Kyle";"Laptop manual";"4.1600";"NE6 5LJ";"54.986578";"-1.5775826"
"35";"Sandler, Corey";"Laptops all-in-one desk reference for dummies";"4.1600";"NE6 5LJ";"54.986578";"-1.5775826"
"2";NULL;"Internet made easy for the over 50s : get the be";"4.6780";"NE44 6BT";"54.9436941";"-1.9772941"
"36";"Meadhra, Michael";"How to do everything with Dreamweaver MX 2004";"5.7200";"NE19 1HF";"55.25225";"-2.1937404"
"36";"Sherman, Jackie";"Brilliant new CLAIT 2006";"4.0000";"NE12 9RN";"55.0219778";"-1.5547833"
"6";"White, Ron";"How computers work";"4.0000";"NE6 3NP";"54.9705946";"-1.5480865"
"3";"Miller, Michael";"Absolute beginner's guide to computer basics";"4.1600";"NE5 3EB";"54.9959224";"-1.664498"
"3";"Reeves, Bob";"Confident computing for the over 50s";"4.1600";"NE5 3EB";"54.9959224";"-1.664498"
"35";NULL;"Computing made easy for the over 50s : suitable";"4.0840";"NE4 6JG";"54.9719748";"-1.6344969"
"36";"Fehily, Chris";"Microsoft Windows Vista";"5.4460";"NE12 8JB";"55.0150567";"-1.5827328"
"1";"Hall, Bill";"Complete beginner's guide to using email for the";"4.6920";"NE5 5QJ";"54.9965379";"-1.6989545"
"1";"Kinkoph, Sherry";"Make the most of your Windows PC";"4.0000";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"Etheridge, Denise";"Microsoft Office Excel 2007";"5.5400";"NE3 2SL";"55.01723";"-1.6492613"
"3";"Hart-Davis, Guy";"How to do everything with Microsoft Office Word";"5.5200";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"Spivey, Dwight";"Mac";"4.1650";"NE3 2SL";"55.01723";"-1.6492613"
"36";NULL;"Computing made easy for the overs 50s : Windows";"4.0840";"NE3 2SL";"55.01723";"-1.6492613"
"35";"Clarke, Alan";"Office skills for New CLAiT and CLAiT Plus 2006";"4.0000";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"Bessant, Angela";"Learning to use Office XP for New CLAIT and CLAI";"5.3690";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"Bessant, Angela";"Learning to pass ECDL";"4.1600";"NE4 9EP";"54.9821682";"-1.6541318"
