"branch";"author";"title";"fakecode";"fakelat";"fakelong"
"19";"Patterson, James";"Private London";"NE13 7BA";"55.0470845";"-1.6490493"
"36";"Patterson, James";"Fang";"NE11 9BL";"54.9516618";"-1.6453787"
"36";"Patterson, James";"Mary,Mary";"NE11 9BL";"54.9516618";"-1.6453787"
"36";"Patterson, James";"Worst case";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"Patterson, James";"Beach road";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"Patterson, James";"2nd chance";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"Patterson, James";"7th heaven";"NE2 1NQ";"54.9828735";"-1.5974036"
"7";"Patterson, James";"Cross fire";"NE7 7PL";"55.0001164";"-1.5787226"
"1";"Patterson, James";"Daniel X - watch the skies";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"Run for your life";"NE5 2SY";"54.9899786";"-1.6833345"
"4";"Patterson, James";"Run for your life";"NE2 2RR";"54.9919918";"-1.6003689"
"36";"Patterson, James";"Kill Alex Cross";"NE15 9ED";"54.9955085";"-1.7503107"
"36";"Patterson, James";"Beach house";"NE7 7PL";"55.0001164";"-1.5787226"
"13";"Patterson, James";"Private";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Patterson, James";"6th target";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"Patterson, James";"Tick tock";"DH9 0UE";"54.8765078";"-1.6807202"
"36";"Patterson, James";"Cross";"NE5 1TU";"55.0008475";"-1.7148744"
"12";"Patterson, James";"Tick, tock";"NE15 7UB";"54.9815404";"-1.6920202"
"7";"Patterson, James";"Tick tock";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Patterson, James";"Double cross";"NE6 4XY";"54.9836239";"-1.5508982"
"36";"Patterson, James";"Sundays at Tiffany's";"NE6 4XY";"54.9836239";"-1.5508982"
"1";"Patterson, James";"Cross fire";"NE5 5QJ";"54.9965379";"-1.6989545"
"3";"Patterson, James";"Cross";"NE5 2SY";"54.9899786";"-1.6833345"
"20";"Patterson, James";"9th judgement";"NE15 7UB";"54.9815404";"-1.6920202"
"20";"Patterson, James";"10th anniversary";"NE15 7UB";"54.9815404";"-1.6920202"
"36";"Patterson, James";"Postcard killers";"NE6 5LJ";"54.986578";"-1.5775826"
"7";"Patterson, James";"Worst case";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"6th target";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Patterson, James";"Dangerous days of Daniel X";"NE11 9BL";"54.9516618";"-1.6453787"
"36";"Patterson, James";"Don't Blink";"NE11 9BL";"54.9516618";"-1.6453787"
"2";"Patterson, James";"Bloody Valentine";"NE3 2DW";"55.0225464";"-1.6195574"
"20";"Patterson, James";"Mary,Mary";"NE15 6NF";"54.974351";"-1.6753841"
"1";"Patterson, James";"Private London";"NE5 5QJ";"54.9965379";"-1.6989545"
"1";"Patterson, James";"Judge and jury";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"6th target";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Bloody Valentine";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"Patterson, James";"Cat and mouse";"DH2 1EP";"54.8785919";"-1.6053632"
"20";"Patterson, James";"Now you see her";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"Patterson, James";"Private London";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"7th heaven";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"Witch & wizard";"NE3 1AR";"55.0071528";"-1.6117037"
"2";"Patterson, James";"7th heaven";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Don't blink";"NE3 2SL";"55.01723";"-1.6492613"
"5";"Patterson, James";"Tick, tock";"NE3 4XN";"55.0029962";"-1.6345623"
"5";"Patterson, James";"Step on a crack";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"Patterson, James";"Quickie";"NE3 2DW";"55.0225464";"-1.6195574"
"19";"Patterson, James";"Max";"NE13 7BA";"55.0470845";"-1.6490493"
"19";"Patterson, James";"Worst case";"NE13 7BA";"55.0470845";"-1.6490493"
"9";"Patterson, James";"8th confession";"NE15 6NF";"54.974351";"-1.6753841"
"3";"Patterson, James";"Sail";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"Now you see her";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"9th judgement";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"Witch & wizard";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"Cross country";"NE4 9EP";"54.9821682";"-1.6541318"
"2";"Patterson, James";"6th target";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Worst case";"NE3 2SL";"55.01723";"-1.6492613"
"14";"Patterson, James";"Christmas wedding";"NE4 7RU";"54.9661468";"-1.6362294"
"14";"Patterson, James";"Private games";"NE4 7RU";"54.9661468";"-1.6362294"
"14";"Patterson, James";"Don't blink";"NE4 7RU";"54.9661468";"-1.6362294"
"14";"Patterson, James";"Postcard killers";"NE4 7RU";"54.9661468";"-1.6362294"
"2";"Patterson, James";"Postcard killers";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"Patterson, James";"9th Judgement";"NE3 2DW";"55.0225464";"-1.6195574"
"35";"Patterson, James";"Christmas wedding";"NE6 4XY";"54.9836239";"-1.5508982"
"7";"Patterson, James";"9th Judgement";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"Private";"NE7 7PL";"55.0001164";"-1.5787226"
"7";"Patterson, James";"Toys";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"Patterson, James";"Alex Cross's trial";"NE10 0YQ";"54.9557589";"-1.5549643"
"3";"Patterson, James";"Tick tock";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"Worst case";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Patterson, James";"Alex Cross's trial";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Witch & wizard";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"Patterson, James";"Along came a spider";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"Patterson, James";"Step on a crack";"NE5 5QJ";"54.9965379";"-1.6989545"
"6";"Patterson, James";"Dangerous days of Daniel X";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Patterson, James";"Postcard killers";"NE6 4XY";"54.9836239";"-1.5508982"
"1";"Patterson, James";"Quickie";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Kill me if you can";"NE5 2SY";"54.9899786";"-1.6833345"
"5";"Patterson, James";"9th judgement";"NE3 3TB";"55.0091977";"-1.6459574"
"5";"Patterson, James";"Private London";"NE3 3TB";"55.0091977";"-1.6459574"
"5";"Patterson, James";"Alex Cross's trial";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"Patterson, James";"Postcard killers";"DH4 5HW";"54.8454671";"-1.4823054"
"2";"Patterson, James";"Cross fire";"NE3 2SL";"55.01723";"-1.6492613"
"5";"Patterson, James";"6th target";"NE3 4XN";"55.0029962";"-1.6345623"
"5";"Patterson, James";"Sundays at Tiffany's";"NE3 3TB";"55.0091977";"-1.6459574"
"3";"Patterson, James";"Private London";"NE5 2SY";"54.9899786";"-1.6833345"
"14";"Patterson, James";"Worst case";"NE4 7RU";"54.9661468";"-1.6362294"
"1";"Patterson, James";"Private games";"NE5 5QJ";"54.9965379";"-1.6989545"
"20";"Patterson, James";"Sail";"NE15 7UB";"54.9815404";"-1.6920202"
"20";"Patterson, James";"Judge and jury";"NE15 7UB";"54.9815404";"-1.6920202"
"2";"Patterson, James";"Cross fire";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"Patterson, James";"Private London";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Patterson, James";"Roses are red";"NE3 4XN";"55.0029962";"-1.6345623"
"35";"Patterson, James";"You've been warned";"NE6 4XY";"54.9836239";"-1.5508982"
"2";"Patterson, James";"Christmas wedding";"NE2 2RR";"54.9919918";"-1.6003689"
"15";"Patterson, James";"Cross";"NE3 3TB";"55.0091977";"-1.6459574"
"15";"Patterson, James";"Tick, tock";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"Patterson, James";"Sundays at Tiffany's";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Don't Blink";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Private";"NE3 2SL";"55.01723";"-1.6492613"
"21";"Patterson, James";"Kill me if you can";"NE5 1TU";"55.0008475";"-1.7148744"
"2";"Patterson, James";"9th judgement";"NE24 3TF";"55.1163787";"-1.5098128"
"35";"Patterson, James";"Private";"NE6 4XY";"54.9836239";"-1.5508982"
"35";"Patterson, James";"Big bad wolf";"NE6 3NP";"54.9705946";"-1.5480865"
"20";"Patterson, James";"Lifeguard";"NE5 2SY";"54.9899786";"-1.6833345"
"13";"Patterson, James";"Christmas wedding";"NE5 3EB";"54.9959224";"-1.664498"
"3";"Patterson, James";"Double cross";"NE15 7UB";"54.9815404";"-1.6920202"
"36";"Patterson, James";"Private London";"DH7 0NJ";"54.8235749";"-1.7365314"
"36";"Patterson, James";"Toys";"NE28 7JG";"54.9985663";"-1.5171122"
"36";"Patterson, James";"Judge & jury";"NE1 5PW";"54.9722632";"-1.6157763"
"6";"Patterson, James";"Private London";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"Patterson, James";"6th target";"NE9 6TU";"54.9319696";"-1.5925676"
