"branch";"branchname";"registered";"fakecode";"fakelat";"fakelong"
"36";"CITY";"40914.44012731482";"NE28 8DW";"54.9977822";"-1.5415842"
"5";"KENTON";"40914.44091435185";"NE15 8UQ";"54.9833921";"-1.7225947"
"36";"CITY";"40914.44872685185";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40914.45604166666";"NE16 4SJ";"54.9455949";"-1.6754974"
"1";"OUTER WEST LIBRARY";"40914.45805555556";"NE8 2NA";"54.9575854";"-1.6196341"
"11";"NEWBIGGIN HALL";"40914.47366898148";"NE5 5QJ";"54.9965379";"-1.6989545"
"36";"CITY";"40914.48458333333";"NE2 4AB";"54.9839327";"-1.620875"
"36";"CITY";"40914.49607638889";"NE3 2DW";"55.0225464";"-1.6195574"
"36";"CITY";"40914.49822916667";"SR6 9EZ";"54.9268829";"-1.376122"
"36";"CITY";"40914.50248842593";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"CITY";"40914.50642361111";"NE26 1QE";"55.0491508";"-1.4519603"
"36";"CITY";"40914.50751157408";"NE9 7XG";"54.9234453";"-1.5678905"
"36";"CITY";"40914.51270833334";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"CITY";"40914.51553240741";"DH1 2DX";"54.7749351";"-1.5361641"
"36";"CITY";"40914.52266203704";"NE4 5EQ";"54.9768148";"-1.6327259"
"23";"MOORSIDE";"40914.52520833333";"NE4 5EQ";"54.9768148";"-1.6327259"
"9";"WEST END";"40914.52770833333";"NE4 9EP";"54.9821682";"-1.6541318"
"35";"EAST END";"40914.534375";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40914.54960648148";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40914.55501157408";"NE5 3EB";"54.9959224";"-1.664498"
"36";"CITY";"40914.56436342592";"NE5 1TU";"55.0008475";"-1.7148744"
"2";"GOSFORTH";"40914.56440972222";"NE3 2SL";"55.01723";"-1.6492613"
"36";"CITY";"40914.56696759259";"NE2 2RR";"54.9919918";"-1.6003689"
"35";"EAST END";"40914.56991898148";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"CITY";"40914.57";"NE4 8AH";"54.9718675";"-1.6538079"
"35";"EAST END";"40914.57929398148";NULL;NULL;NULL
"35";"EAST END";"40914.59305555555";NULL;NULL;NULL
